abzeichen;satz;station;aufgabe_id;aufgabe;Name;Frage 1;Frage 2 ;Frage 3;Frage 4;Frage 5;Frage 6;Frage 7;Frage 8;Frage 9;Frage 10;Frage 11;min_punkte
Bronze;C;2;46;6;Ablängen Gewindestange;Mit Gewindeschutz im Schraubstock *;Auf Maß abgelängt *;Schnitt rechtwinklig ;Schnittfläche geebnet und entgratet *;Auf Gewindegängigkeit geprüft *;;;;;;;4
Bronze;C;3;47;7;Transportsicherung Krankentrage;Hüft- und Brustgurt geschlossen *;Leinen mit Doppelstich verbunden *;Kopfseite: Mastwurf + Halbschlag *;Leinenführung fest am Körper *;"Arbeitsleine fußseitig mit Halbschlag
an den Tragegriffen und
Tragbeinen gesichert (beidseitig)*";Achterschlag an den Füßen*;"Person in der Einbindungszeit
betreut, Handgriffe erklärt und
angesprochen*";;;;;7
Bronze;C;3;48;8;Zuordnen von Löschmitteln;Elektroanlagen-Kohlendioxidlöscher*;Holz: Wasser *;Metallspäne: Sand *;Kraftstoffe: ABC-Pulver *;-;;;;;;;4
Silber;A;1;49;1;Aufschießen einer Arbeitsleine;Freies Leinenende kürzer als Schlag;Drallfrei aufgeschossen;Mind. 3 Schläge quer umwickelt;Schläge eng und fest;Überstand mind. 10x Leinendurchmesser;-;-;;;;;4
Silber;A;1;50;2;Ankerstich an Rundholz;"""Verloren fest"" um Rundholz gelegt*";Ankerstich richtig ausgeführt*;-;-;-;-;-;;;;;2
Silber;A;1;51;3;Handhabung ABC-Feuerlöscher;Sicherung entfernt*;Treibgasbehälter ausgelöst*;Brand gebückt angegangen*;Windrichtung/Abstand beachtet*;Löschstrahl in Flammen (nicht Rauch)*;Kurze Pulverstöße;-;;;;;5
Silber;A;2;52;4;Bestandteile einer Leiter;Holm*;Sprosse*;Kopfende*;Fußende (Leiterfuß)*;Federsperrbolzen;-;-;;;;;4
Silber;A;2;53;5;Aufrichten einer Steckleiter;Helfer für Fußpunktsicherung angewiesen*;Über Sprosse aufgerichtet/angelegt*;Anstellwinkel überprüft und ggf. korrigiert (65-75grad)*;-;-;-;-;;;;;3
Silber;A;2;54;6;Leitersicherungen aufzählen;Kopfpunktsicherung;Querriegel;Fußpunktsicherung;2. Junghelfer;Eingraben;Pfähle / Spitzeisen;-;;;;;4
Silber;A;2;55;7;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Helfer zur Sicherung herangezogen*;An Sprossen festgehalten (nicht Holm)*;-;-;-;-;;;;;3
Silber;A;3;56;8;Hilfsmittel Kartenkunde;Karte(n)*;Planzeiger;Kompass;GPS-Empfänger;-;-;-;;;;;3
Silber;A;3;57;9;Punkt bestimmen (Koordinate);Punkt richtig bestimmt*;-;-;-;-;-;-;;;;;1
Silber;A;3;58;10;Absetzen eines Notrufs;Wer meldet;Wo*;Was*;Wie viele Verletzte;Warten*;Welche Verletzungen;-;;;;;5
Silber;A;3;59;11;Fingerkuppenverband;Handschuhe getragen;Wundschnellverband geschnitten (6-8cm)*;Keilförmig eingeschnitten*;Schutzfolie ohne Berührung abgezogen*;Bis zur Hälfte um Finger geklebt*;Überstehende Hälfte fixiert*;-;;;;;5
Silber;A;4;60;12;Werkzeuge Holzbearbeitung;Zugmesser;Lochbeitel;Schreinerklüpfel;Halbrund-Raspel;Bohrsäge;Stangen-Schlangenbohrer;Latthammer, Fuchsschwanz, Schlegel;;;;;7
Silber;A;4;61;13;Mess-/Anreißwerkzeuge Holz;Gliedermaßstab;Zimmermannswinkel;Bandmaß;Stellwinkel (Schmiege);Wasserwaage;-;-;;;;;4
Silber;A;4;62;14;Bestandteile Schutzausstattung;Stiefel*;Hose*;Jacke*;Arbeitsschutzhandschuhe*;Schutzhelm*;Fleece-Jacke;BaseCap;Koppel;;;;5
Silber;A;4;63;15;Herstellen einer Schocklage;Mit Verletztem gesprochen/betreut;Hingelegt, Beine hoch gelagert*;Decke untergelegt;Verletzten zugedeckt;Vitalzeichen geprüft*;-;-;;;;;3
Silber;B;1;64;1;Sackstich (2 Leinen);Sackstich richtig ausgeführt*;Überhang mind. 10x Leinendurchmesser;Parallele Leinenführung;-;-;-;-;;;;;2
Silber;B;1;65;2;Aufschießen einer Arbeitsleine;Freies Leinenende kürzer als Schlag;Drallfrei aufgeschossen;Mind. 3 Schläge quer;Schläge eng und fest;Überstand mind. 10x Durchmesser;-;-;;;;;4
Silber;B;1;66;3;Ketten mit Schäkel verbinden;Drallfrei ausgelegt*;Mit Schäkel verbunden*;Bolzen voll eingedreht;Bolzen halbe Umdrehung zurück*;Gegen Herausdrehen gesichert*;Handschuhe getragen*;-;;;;;5
Silber;B;1;67;4;Bestandteile Schutzausstattung;Stiefel*;Hose*;Jacke*;Arbeitsschutzhandschuhe*;Schutzhelm*;Fleece-Jacke;BaseCap;Koppel;;;;5
Silber;B;1;68;5;Zuordnen von Löschmitteln;Elektro: Kohlendioxid*;Holz: Wasser*;Metallspäne: Sand*;Kraftstoffe: ABC-Pulver*;-;-;-;;;;;4
Silber;B;2;69;6;Aufzählung möglicher Leitersicherungen;Querriegel;2.Junghelfer_in;Eingraben;Pfähle / Sspitzeisen;Querriegel;;;;;;;4
Silber;B;2;70;7;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Stationshelfer_in zur Leistersicherung geholt*;An Sprossen festgehalten (nicht Holm) *;;;;;;;;;3
Silber;B;2;71;8;Steckleiterteil auf Schulter;Liegt auf Schulter auf*;An Sprosse gehalten*;Zweite Hand bleibt frei;-;-;-;-;;;;;3
Silber;B;3;72;9;Zeigen von Werkzeugen für die Holzbearbeitung;Bügelsäge;Fuchsschwanz ;Stichsäge ;Lochbeitel ;Handbeil ;Holzaxt ;Kistenbeitel ;Zugmesser ;;;;6
Silber;B;3;73;10;Zeigen von Mess und Anreißwerkzeugen;Gliedermaßstab;Zimmermannswinkel;Bandmaß;Stellwinkel (Schmiege);Wasserwage;;;;;;;4
Silber;B;3;74;11;Ablängen Kantholz (Fuchsschwanz);Handschuhe getragen*;Führungsholz verwendet*;Sägeblattlänge voll ausgenutzt;Schnitt gerade/rechtwinklig;-;-;-;;;;;3
Silber;B;4;75;12;Werkzeuge Steinbearbeitung;Maurerbeil;Gipserbeil;Handschutz;Spitzmeißel;Fäustel;Kneifzange;Schraubenschlüssel;Flachmeißel ;;;;6
Silber;B;4;76;13;Erklärung der Handhabung des ABC-Feuerlöschers;Sicherung entfernt*;Treibgasbehälter ausgelöst*;Brand gebückt angegangen*;Windrichtung/Abstand beachtet*;Löschstrahl in Flammen (nicht Rauch)*;Löschangriff mit kurzen Pulverstößen;;;;;;5
Silber;B;4;77;14;Aufzählen der Hilfsmittel der Kartenkunde;Karte(n)*;Planzeiger;Kompass;GPS-Empfänger;;;;;;;;2
Silber;B;4;78;15;Bestimmen eines Punktes durch Vorgabe (Koordinate);Punkt richtig bestimmt*;-;-;-;-;-;-;;;;;1
Silber;C;1;79;1;Bockschnürbund;Mit Mastwurf begonnen*;Überhang mind. 10x Durchmesser;Eng und fest gebunden*;Nach oben (gegen Last) gebunden*;Abschluss mit Mastwurf;-;-;;;;;4
Silber;C;1;80;2;Bennenen dder Bestandteile der PSA;Stifel*;Hose*;Jacke*;Arbeirsschutzhandschuhe*;Schutzhelm*;Flece-Jacke;BaseCap ;Koppel ;;;;5
Silber;C;1;81;3;Bestimmen eines Punktes durch Vorgabe (Koordinate);Punkt richtig bestimmt*;-;-;-;-;-;-;-;;;;1
Silber;C;2;82;4;Steckleiterteile zusammenstecken;Handschuhe getragen;Ineinander geschoben*;Vor Zugprobe Sperrbolzen geprüft*;Zugprobe durchgeführt*;-;-;-;;;;;3
Silber;C;2;83;5;Bennenen von Werkzeugen für die Holzbearbeitung;Zugmesser;Lochbeitel ;Schreinerklüpfel;Halbrund-Raspel;Bohrsäge;Stangen-Schlangenbohrer;Latthammer ;Fuchsschwanz ;Schlegel ;;;7
Silber;C;2;84;6;Kreuzen von Kanthölzern;Löcher mittig angerissen*;Rechtwinklig gebohrt*;Mit Gewindestange verbunden*;Unterlegscheiben verwendet*;Muttern festgezogen;-;-;;;;;4
Silber;C;2;85;7;Gewindestange ablängen (Metall);Mit Gewindeschutz eingespannt*;Auf Maß abgelängt*;Schnitt rechtwinklig;Geebnet und entgratet*;Gewindegängigkeit geprüft*;-;-;;;;;4
Silber;C;3;86;8;Schläuche über Verkehrsweg;Drall- und knickfrei verlegt*;Schlauchbrücken verwendet*;Mit Leitkegeln gesichert*;Sicherungsposten eingeteilt;-;-;-;;;;;3
Silber;C;3;87;9;Transportsicherung Krankentrage;Hüft- und Brustgurt zu*;Leinen mit Doppelstich verbunden*;Kopfseitig Mastwurf/Halbschlag*;Leinenführung fest am Körper*;Fußseitig Halbschläge*;Achterschlag an Füßen*;Person betreut/angesprochen*;;;;;7
Silber;C;3;88;10;Druckverband;Handschuhe getragen;Wundauflage aufgelegt*;Mit 2-3 Gängen fixiert*;Druckpolster aufgelegt*;Weitere Bindegänge über Polster*;Bindenende fixiert*;-;;;;;5
Silber;C;4;89;11;Stromversorgung/Beleuchtung;Stativbeine max. gespreizt/lotrecht*;Flutlicht aufgesteckt/gesichert*;Teleskoprohre max. Höhe*;Handschuhe beim Ausziehen*;Dreiseitig abgespannt*;Abspannseile mit Flatterband markiert;Leitung auf beschädigungen geprüft;Leitung vollständig abgerollt*;Überschüssige Leitung in Buchten gelegt*;Schutzdeckel/Schutzkappen verbunden;Vom Verbraucher zum Erzeuger aufgebaut;9
Silber;C;4;90;12;Inbetriebnahme Stromerzeuger;Abgasschlauch angeschlossen*;Kraftstoff geprüft;Ölstand geprüft;Choke betätigt*;Kraftstoffhahn auf*;Motor gestartet*;Last erst bei Nenndrehzahl*;Schutzkappe an Aggregat verriegelt;Die Reihenfolge eingehalten*;;;7
Silber;C;5;91;13;Verbinden zweier Kettenenden mit einem Schäkel;Kettenstränge drallfrei ausgelegt*;Kettenenden mit Schäkel verbunden*;Schäkelbolzen vollständig eingedreht;Schäkelbolzen eine halbe umdrehung zurückgedreht*;Schäkelbolzen gegen herausdrehen gesichert*;Handschuhe getragen*;-;-;-;;;5
Silber;C;5;92;14;Inbetriebnahme Zuggerät;Handschuhe getragen*;Festpunkt gewählt*;Schaltgriff eingerastet;Rückzughebel nach hinten;Seil eingeführt/durchgeschoben*;Schaltgriff gelöst;Sicherheitsabstände eingehalten*;Anschlagverbindungen des Drahtzugseils gesichert*;Hebelrohr ausgezogen und gesichert*;Hebelrohr aufgesteckt ;;8
Silber;C;5;93;15;Außerbetriebnahme Zuggerät;Seil entspannt*;Rückzughebel betätigt*;Vom Festpunkt/Last gelöst;Schaltgriff eingerastet und zurückgezogen*;Seil herausgezogen;Schaltgriff gelöst;-;-;;;;4
Gold;A;1;94;1;Leinen verbinden ;Sackstich korrekt *;Überhang mind. 10x Leinendurchmesser;Parallele Führung ;-;-;-;-;-;;;;2
Gold;A;1;95;2;Leine aufschießen ;Ende kürzer als Schlag ;Drallfrei ;Min. 3 Querschläge ;Eng & fest gewickelt ;Überhang mind. 10x Leinendurchmesser;-;;;;;;4
Gold;A;1;96;3;Binden von Ankerstich an Rundholz;"""Verloren fest"" um Rundholz gelegt*";Ankerstich richtig*;-;-;-;;;;;;;2
Gold;A;1;97;4;Ketten & Schäkel ;Drallfrei ausgelegt *;Mit Schäkel verbunden *;Bolzen voll eingedreht ;1/2 Drehung zurück *;Gegen Herausdrehen gesichert *;Handschuhe getragen *;;;;;;5
Gold;A;1;98;5;ABC-Feuerlöscher ;Sicherung entfernt *;Treibgas ausgelöst *;Brand gebückt angegangen *;Wind/Abstand beachtet *;In Flammen gerichtet *;Kurze Pulverstöße ;;;;;;5
Gold;A;2;99;6;Erklären der Bestandteile einer Leiter;Holm*;Sprosse*;Kopfende*;Fußende*;Federspeerbolzen;;;;;;;4
Gold;A;2;100;7;Aufrichten einer Steckleiter über Sprosse;Helfer zum Fußpunkt oder Hilfe zur Aufrichtung hinzugezogen*;Leiter gesichert über Sprosse*;Anstellwinkel überprüft und ggf. korrigiert (65-75grad)*;;;;;;;;;3
Gold;A;2;101;8;Leitersicherungen ;Querriegel;2.Junghelfer_in;Eingraben;Pfähle / Spitzeisen;Querriegel;;;;;;;4
Gold;A;2;102;9;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Stationshelfer_in zur Leistersicherung geholt*;An Sprossen festgehalten (nicht Holm) *;-;-;;;;;;;3
Gold;A;2;103;10;Tragen einer Steckleiter auf der Schulter;Leiterteil liegt auf Schulter auf*;Steckleiterteil an Sprosse gehalten*;Zweite Hand bleibt frei*;-;-;;;;;;;3
Gold;A;3;104;11;Aufzählen der Hilfsmittel der Kartenkunde;Karte(n)*;Planzeiger;Kompass;GPS-Empfänger;-;;;;;;;3
Gold;A;3;105;12;Bestimmen eines Punktes durch Vorgabe (Koordinate);Punkt richtig bestimmt*;-;-;;;;;;;;;1
Gold;A;3;106;13;Erklären und Funktionsweise eines Kompasses;Metallnadel frei gelagert*;Metallnadel reagiert auf Magnetfeld*;Skala Himmelsrichtung auf metallnadel ausgerichtet*;Mögliche Störquellen gennant;;;;;;;;3
Gold;A;3;107;14;Notruf absetzen ;Wer meldet ;Wo*;Was*;Wie viele Verletzte ;Warten auf Rückfragen*;Welche Verletzungen ;;;;;;5
Gold;A;3;108;15;Fingerkuppenverband ;Handschuhe getragen ;Pflaster (6-8cm) *;Keile geschnitten*;Folie ohne Berühren ab *;Halbe um Finger *;Kuppe fixiert *;;;;;;5
