abzeichen;satz;station;aufgabe_id;aufgabe;Name;Frage 1;Frage 2 ;Frage 3;Frage 4;Frage 5;Frage 6;Frage 7;Frage 8;Frage 9;Frage 10;Frage 11;min_punkte
Gold;C;1;143;2;Benennen der Bestandteile der persönlichen Schutzausstattung;Stiefel*;Hose *;Jacke *;Arbeitsschutzhandschuhe*;Schutzhelm*;Fleece-Jacke ;BaseCap ;Koppel ;;;;5
Gold;C;1;144;3;Bestimmen eines Punktes durch Vorgabe einer Koordinate;Punkt richtig bestimmt*;;;;;;;;;;;1
Gold;C;1;145;4;Umrechnen von Kartenmaßstäben;Umrechnen vom in der Karte angegebenen Abstand (in cm) in den realen Abstand im Gelände (in km);Umrechnen vom realen Abstand im Gelände (in km) in den Abstand in der Karte (in cm);;;;;;;;;;1
Gold;C;1;146;5;Anmelden in einem Sprechfunkverkehrskreis;Betriebskanal nachgefragt und richtig eingestellt*;Leitstelle von HEROS ……….. kommen (Antwort Gegenstelle: Hier Heros Leitstelle, kommen)*;"Ich melde mich in Ihrem
Funkverkehrskreis an, kommen
(Antwort Gegenstelle: Verstanden,
Ende)
*";;;;;;;;;3
Gold;C;1;147;6;Absetzen einer Nachricht;"Betriebskanal nachgefragt und
richtig eingestellt*";HEROS ……….. von HEROS ……….. kommen (Antwort Gegenstelle: Hier Heros ……….., kommen)*;Hier Heros ……….., Standortmeldung, Standort Bibergasse/Ecke Moorstraße, kommen (Antwort Gegenstelle: Verstanden, Ende)*;;;;;;;;;3
Gold;C;2;148;7;Erklären der Bestandteile einer Leiter;Holm*;Sprosse*;Kopfende*;Fußende*;Federspeerbolzen;;;;;;;4
Gold;C;2;149;8;Zusammenstecken zweier Steckleiterteile;Arbeitsschutzhandschuhe getragen;Leiterteile ineinander geschoben*;"Vor der Zugprobe geprüft, dass die
Federsperrbolzen geschlossen sind*";Zugprobe durchgeführt*;;;;;;;;3
Gold;C;2;150;9;Benennen von Werkzeugen für die Holzbearbeitung;Zugmesser;Lochbeitel;Schreinerklüpfel;Halbrund-Raspel;Bohrsäge (Stichling);Stangen-Schlangenbohrer;Latthammer;Fuchsschwanz;Schlegel;;;7
Gold;C;2;151;10;Einfaches Kreuzen zweier Kanthölzer durch Verbinden mittels Gewindestange;Löcher mittig angerissen*;Löcher rechtwinklig gebohrt*;"Kanthölzer mit Gewindestange
verbunden *";Unterlegscheiben (quadratisch) verwendet*;Sechskantmuttern festgezogen;;;;;;;4
Gold;C;2;152;11;Ablängen einer Gewindestange mit der Metallbügelsäge;Gewindestange mit Gewindeschutz im Schraubstock eingespannt*;Gewindestange auf Maß* abgelängt*;Schnitt rechtwinklig ausgeführt (Sichtkontrolle);Schnittfläche geebnet und entgratet*;Auf Gewindegängigkeit geprüft*;;;;;;;4
Gold;C;3;153;12;Anlegen und Erklären der THW-Rettungsweste;Auf oberflächliche Beschädigungen überprüft*;Aufblasvorrichtung kontrolliert*;Handauslöseleine nach außen geführt*;THW-Rettungsweste korrekt angelegt und geschlossen*;;;;;;;;3
Gold;C;3;154;13;Transportsicherung auf einer Krankentrage für den Transport auf unebenem Geländ;Hüft- und Brustgurt geschlossen*;Arbeitsleine mit Doppelstich verbunden*;Arbeitsleine kopfseitig mit Mastwurf und Halbschlag am Tragegriff und mit Halbschlag am Tragbein gesichert (beidseitig)*;Leinenführung nach Vorgabe fest am Körper*;Arbeitsleine fußseitig mit Halbschlag an den Tragegriffen und Tragbeinen gesichert (beidseitig)*;"Achterschlag an den Füßen korrekt
ausgeführt*";Person in der Einbindungszeit betreut, Handgriffe erklärt und angesprochen*;;;;;7
Gold;C;3;155;14;Anlegen eines Druckverbandes (mit Verbandspäckchen);Infektionsschutzhandschuhe getragen;Wundauflage auf Wunde gelegt*;Wundauflage mit 2 bis 3 kreisförmigen Bindegängen befestigt*;Druckpolster auf Wundbereich gelegt*;Weitere Bindegänge über das Druckpolster gelegt*;Das Bindenende fixiert*;;;;;;5
Gold;C;4;156;15;Aufbau einer mobilen Stromversorgung mit Beleuchtung;Stativbeine maximal gespreizt, senkrecht/lotrecht ausgerichtet und Flügelschrauben angezogen*;Flutlichtleuchte aufgesteckt, ausgerichtet und gesichert*;Teleskoprohre (mit Stationshelfer_in) auf maximale Höhe herausgezogen und gesichert*;Beim Herausziehen der Teleskoprohre Arbeitsschutzhandschuhe getragen*;Stativ ordnungsgemäß (dreiseitig und einheitlich) abgespannt*;Abspannseile mit Absperrband (Flatterband) gekennzeichnet;Leitung auf Beschädigung geprüft;Leitung vollständig abgerollt*;Überschüssige Leitung in großen Buchten stolperfrei verlegt*;Schutzdeckel und Schutzkappen verbunden;Vom Verbraucher zum Erzeuger aufgebaut;9
Gold;C;4;157;16;Erläutern der Inbetriebnahme eines tragbaren Stromerzeugers;Abgasschlauch angeschlossen*;Kraftstofffüllstand geprüft;Ölstand überprüft;Choke herausgezogen (bei warmen Motor nur erklären)*;Kraftstoffhahn geöffnet*;Motor gestartet*;Verbraucher erst angeschlossen, wenn der Motor mit Nenndrehzahl läuft*;Überwurfringglocke der Anschlussleitung an der Steckdose des tragbaren Stromerzeugers verriegelt;"Die Reihenfolge der
Bedienungsschritte ist eingehalten
(Ausnahme: Reihenfolge der
Überprüfung Kraftstoff und
Ölstand).
*";;;7
Gold;C;4;158;17;Inbetriebnahme einer Tauchpumpe;"Tauchpumpe mit Arbeitsleine durch
einfachen Ankerstich gesichert*";Druckschlauch angekuppelt und Ende festgelegt in einer Schlauchbrücke bei freiem Auslauf*;"Elektrische Verbindung hergestellt
und Pumpe eingeschaltet";"Pumpe an der Arbeitsleine in das
Wasser gelassen *";;;;;;;;4
Gold;C;5;159;18;Verbinden zweier Kettenenden mit einem Schäkel;Kettenstränge drallfrei ausgelegt*;Kettenenden mit Schäkel verbunden*;Schäkelbolzen vollständig eingedreht;Schäkelbolzen eine halbe umdrehung zurückgedreht*;Schäkelbolzen gegen herausdrehen gesichert*;Arbeitsschutzhandschuhe*;;;;;;5
Gold;C;5;160;19;Zuggerät Inbetr. ;Handschuhe getragen*;An Festpunkt *;Schaltgriff eingerastet ;Rückzughebel hinten ;Seil eingeführt *;Schaltgriff gelöst ;Sicherheitsabstand *;Anschläge gesichert *;Hebelrohr gesichert *;Hebelrohr aufgesteckt und gesichert;;8
Gold;C;;161;20;Außerbetriebnahme eines Zuggeräts;Drahtseil entspannt*;Rückzughebel betätigt;Drahtseil u. Zughaken von den Verankerungen gelöst;Schaltgriff zurückgezogen und eingerastet*;Drahtzugseil herausgezogen;Schaltgriff gelöst ;;;;;;4
Gold;C;6;162;21;Gefahrstoffe ;Kraftstoff (Kl. 3) ;Sauerstoff (2.2/5.1) ;Druckluft (Kl. 2.2) ;Ameisensäure (Kl. 8) ;;;;;;;;3
Gold;C;6;163;22;Sandsäcke ;2/3 gefüllt (max 12kg) und zugebunden*;Flach gelegt ;Öffnung landwärts ;Dichter Verbund ;;;;;;;;3
Gold;C;6;164;23;Zuordnen von Löschmitteln;Elektroanlagen - Kohlendioxidlöscher*;Holz - Wasser*;Metallspäne - Sand*;Kraftstoffe - ABC Pulverlöscher*;;;;;;;;4
Gold;C;6;165;24;Auffanggurt ;Taschen leer *;Sichtprüfung Gurt *;An Rückenöse gefasst ;Wie Jacke angelegt ;Beinriemen zu *;Brustgurt zu *;Hüftgurt zu *;Kontrolle Helfer *;Sitzprobe/Zugtest *;;;7
